TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
1001,2025-01-05,Laptop,Electronics,East,Online,2,55000,110000,Credit Card,501
1002,2025-01-06,Mobile Phone,Electronics,West,Offline,3,20000,60000,UPI,502
1003,2025-01-07,T-Shirt,Fashion,North,Online,5,800,4000,Cash,503
1004,2025-01-08,Refrigerator,Home Appliances,South,Offline,1,30000,30000,Net Banking,504
1005,2025-01-09,Shoes,Fashion,East,Online,4,2500,10000,UPI,505
1006,2025-01-10,Tablet,Electronics,West,Offline,2,15000,30000,Credit Card,506
1007,2025-01-11,Washing Machine,Home Appliances,North,Online,1,25000,25000,Net Banking,507
1008,2025-01-12,Headphones,Electronics,South,Online,6,1500,9000,Cash,508
1009,2025-01-13,Jeans,Fashion,East,Offline,3,1800,5400,UPI,509
1010,2025-01-14,Microwave,Home Appliances,West,Online,2,12000,24000,Credit Card,510
1011,2025-02-01,Laptop,Electronics,North,Offline,1,56000,56000,Net Banking,511
1012,2025-02-02,Mobile Phone,Electronics,South,Online,4,22000,88000,Credit Card,512
1013,2025-02-03,T-Shirt,Fashion,East,Offline,8,700,5600,Cash,513
1014,2025-02-04,Shoes,Fashion,West,Online,5,2600,13000,UPI,514
1015,2025-02-05,Air Conditioner,Home Appliances,North,Offline,1,40000,40000,Net Banking,515
1016,2025-02-06,Tablet,Electronics,South,Online,2,16000,32000,Credit Card,516
1017,2025-02-07,Headphones,Electronics,East,Offline,7,1700,11900,UPI,517
1018,2025-02-08,Jeans,Fashion,West,Online,4,2000,8000,Cash,518
1019,2025-02-09,Microwave,Home Appliances,North,Offline,2,11000,22000,Credit Card,519
1020,2025-02-10,Smart Watch,Electronics,South,Online,3,5000,15000,UPI,520
